Year,Food,Alcohol & Tobacco,Housing,Apparel ,Healthcare,Insurance,Entertainment,Reading and Education,Misc,Religion and Charity,Personal care,Transportation
1901,0.4252275683,0.02990897269,0.2327698309,0.1404421326,0.05201560468,,0.0156046814,0.01040312094,0.08062418726,0.01300390117,,
1919,0.392,,0.229,0.162,0.045,,0.032,0.004,0.106,,,0.03
1936,0.347,,0.292,0.109,0.04,,0.035,0.005,0.087,,,0.085
1944,0.3495405819,0.01837672282,0.2404287902,0.1393568147,0.04709035222,0.03177641654,0.0241194487,0.01607963247,0.006508422665,0.04555895865,0.02143950995,0.05972434916
1950,0.2720172367,0.04066792351,0.2418529491,0.1007271748,0.05736601131,0.05278750337,0.022,0.014,0.009695663884,0.04767034743,0.02100727175,0.1203878266
1961,0.2190662169,0.03000177525,0.2604296112,0.09195810403,0.0603586011,0.05308006391,0.038,0.015,0.01970530801,0.04970708326,0.02574116812,0.136694479
1973,0.1677370318,0.02526615456,0.276781819,0.05943549057,0.05545959823,0.07718193124,0.07442445752,0.01610961773,0.008959949876,0.05336967914,0.0173679845,0.1679041833
1984,0.1497155859,0.02288964733,0.3022525597,0.06002275313,0.04773606371,0.08632536974,0.04800910125,0.01979522184,0.02052332196,0.03212741752,0.0131513083,0.1958589306
1995,0.1367158443,0.01695388049,0.3256570791,0.05281428217,0.05368212249,0.09186709645,0.04996280684,0.01961939003,0.02374163154,0.02866972477,0.01249070171,0.1863997025
2005,0.1277984874,0.01605292077,0.3264022065,0.04063866922,0.05740265897,0.05145553664,0.1121334224,0.0229696826,0.01741041608,0.03583356677,0.01165722166,0.1797927126
2013,0.1291976517,0.01516634051,0.3355772994,0.03138943249,0.07105675147,0.1081800391,0.04857142857,0.02426614481,0.0126223092,0.03589041096,0.01189823875,0.1762035225
2021,0.1238495099,0.01337257949,0.3380199617,0.02620726751,0.08146067416,0.1176338752,0.0533110208,0.02002151566,0.01473224958,0.03608355247,0.01151984222,0.1637730098
