Gender,Exited,Season,Status,First_Name,Entered,Unique_Identifier,Num_Couples
M,39,Love Island Australia (Season 1),Winner,Grant,1,GrantLove Island Australia (Season 1),2
F,39,Love Island Australia (Season 1),Winner,Tayla,1,TaylaLove Island Australia (Season 1),3
M,39,Love Island Australia (Season 1),Runner-Up,Eden,1,EdenLove Island Australia (Season 1),1
F,39,Love Island Australia (Season 1),Runner-Up,Erin,1,ErinLove Island Australia (Season 1),1
F,39,Love Island Australia (Season 1),Third Place,Amelia,23,AmeliaLove Island Australia (Season 1),1
M,39,Love Island Australia (Season 1),Third Place,Josh,1,JoshLove Island Australia (Season 1),5
M,38,Love Island Australia (Season 1),Dumped,Dom,16,DomLove Island Australia (Season 1),3
F,38,Love Island Australia (Season 1),Dumped,Shelby,23,ShelbyLove Island Australia (Season 1),2
M,37,Love Island Australia (Season 1),Dumped,Mark,31,MarkLove Island Australia (Season 1),1
F,37,Love Island Australia (Season 1),Dumped,Millie,1,MillieLove Island Australia (Season 1),4
M,36,Love Island Australia (Season 1),Dumped,Mac,14,MacLove Island Australia (Season 1),3
M,36,Love Island Australia (Season 1),Dumped,Teddy,21,TeddyLove Island Australia (Season 1),3
M,35,Love Island Australia (Season 1),Dumped,Kory,31,KoryLove Island Australia (Season 1),0
M,30,Love Island Australia (Season 1),Dumped,Jaxon,11,JaxonLove Island Australia (Season 1),3
M,26,Love Island Australia (Season 1),Dumped,Françoise,8,FrançoiseLove Island Australia (Season 1),3
F,25,Love Island Australia (Season 1),Dumped,Cassidy,1,CassidyLove Island Australia (Season 1),3
M,18,Love Island Australia (Season 1),Dumped,Elias,4,EliasLove Island Australia (Season 1),2
M,18,Love Island Australia (Season 1),Dumped,Justin,1,JustinLove Island Australia (Season 1),1
F,15,Love Island Australia (Season 1),Dumped,Natasha,1,NatashaLove Island Australia (Season 1),2
M,11,Love Island Australia (Season 1),Walked,John James,4,John JamesLove Island Australia (Season 1),1
F,9,Love Island Australia (Season 1),Dumped,Kim,2,KimLove Island Australia (Season 1),1
M,7,Love Island Australia (Season 1),Dumped,Charlie,1,CharlieLove Island Australia (Season 1),1
M,45,Love Island Australia (Season 3),Winner,Mitch,3,MitchLove Island Australia (Season 3),2
F,45,Love Island Australia (Season 3),Winner,Tina,1,TinaLove Island Australia (Season 3),3
M,45,Love Island Australia (Season 3),Runner-Up,Aaron,1,AaronLove Island Australia (Season 3),3
F,45,Love Island Australia (Season 3),Runner-Up,Jess,1,JessLove Island Australia (Season 3),3
M,45,Love Island Australia (Season 3),Runner-Up,Chris,3,ChrisLove Island Australia (Season 3),2
F,45,Love Island Australia (Season 3),Runner-Up,Zoe,14,ZoeLove Island Australia (Season 3),1
F,43,Love Island Australia (Season 3),Dumped,Courtney,1,CourtneyLove Island Australia (Season 3),4
M,43,Love Island Australia (Season 3),Dumped,Noah,23,NoahLove Island Australia (Season 3),1
M,41,Love Island Australia (Season 3),Dumped,Taku,1,TakuLove Island Australia (Season 3),5
F,41,Love Island Australia (Season 3),Dumped,Michela,21,MichelaLove Island Australia (Season 3),1
M,41,Love Island Australia (Season 3),Dumped,Hugh,30,HughLove Island Australia (Season 3),1
F,41,Love Island Australia (Season 3),Dumped,Eliza,35,ElizaLove Island Australia (Season 3),1
F,39,Love Island Australia (Season 3),Dumped,Jade,35,JadeLove Island Australia (Season 3),0
F,39,Love Island Australia (Season 3),Dumped,Lexy,2,LexyLove Island Australia (Season 3),2
M,35,Love Island Australia (Season 3),Dumped,Ryan,1,RyanLove Island Australia (Season 3),3
F,35,Love Island Australia (Season 3),Dumped,Tayla,21,TaylaLove Island Australia (Season 3),1
M,30,Love Island Australia (Season 3),Dumped,Ben,23,BenLove Island Australia (Season 3),1
F,26,Love Island Australia (Season 3),Dumped,Aisha,21,AishaLove Island Australia (Season 3),0
F,26,Love Island Australia (Season 3),Dumped,Audrey,21,AudreyLove Island Australia (Season 3),0
M,26,Love Island Australia (Season 3),Dumped,Brent,23,BrentLove Island Australia (Season 3),0
F,26,Love Island Australia (Season 3),Dumped,Brianna,21,BriannaLove Island Australia (Season 3),0
M,26,Love Island Australia (Season 3),Dumped,Nicolas,14,NicolasLove Island Australia (Season 3),1
F,26,Love Island Australia (Season 3),Dumped,Ruby,21,RubyLove Island Australia (Season 3),0
M,26,Love Island Australia (Season 3),Dumped,Sadee,23,SadeeLove Island Australia (Season 3),0
M,26,Love Island Australia (Season 3),Dumped,Shayne,23,ShayneLove Island Australia (Season 3),0
F,17,Love Island Australia (Season 3),Dumped,Emily,8,EmilyLove Island Australia (Season 3),2
F,16,Love Island Australia (Season 3),Dumped,Ari,1,AriLove Island Australia (Season 3),3
M,16,Love Island Australia (Season 3),Dumped,Ronni,1,RonniLove Island Australia (Season 3),3
F,10,Love Island Australia (Season 3),Dumped,Rachael,1,RachaelLove Island Australia (Season 3),2
M,5,Love Island Australia (Season 3),Dumped,Jordan,1,JordanLove Island Australia (Season 3),1
F,35,Love Island Australia (Season 2),Winner,Anna,4,AnnaLove Island Australia (Season 2),2
M,35,Love Island Australia (Season 2),Winner,Josh,8,JoshLove Island Australia (Season 2),1
F,35,Love Island Australia (Season 2),Runner-Up,Cartier,1,CartierLove Island Australia (Season 2),3
M,35,Love Island Australia (Season 2),Runner-Up,Matthew,1,MatthewLove Island Australia (Season 2),3
M,35,Love Island Australia (Season 2),Third Place,Aaron,17,AaronLove Island Australia (Season 2),1
F,35,Love Island Australia (Season 2),Third Place,Cynthia,1,CynthiaLove Island Australia (Season 2),4
F,34,Love Island Australia (Season 2),Dumped,Jessie,1,JessieLove Island Australia (Season 2),4
M,34,Love Island Australia (Season 2),Dumped,Todd,21,ToddLove Island Australia (Season 2),1
